Conf. θₙ ; Φₙ,N=4,N=16,N=64,N=100
-60 ; 33,-88.65,-86.56,-85.58,-89.01
-60 ; 36,-88.62,-85.35,-85.36,-88.22
-60 ; 39,-88.67,-86.57,-88.16,-89.85
-60 ; 42,-88.62,-86.45,-86.34,-88.57
-60 ; 45,-88.57,-87.3,-85.89,-86.89
-57 ; -45,-88.72,-88.58,-86.73,-89.66
-57 ; -42,-88.76,-88.48,-88.21,-89.27
-57 ; -39,-88.7,-88.12,-87.32,-88.48
-57 ; -36,-88.71,-89.41,-88.83,-89.17
-57 ; -33,-88.71,-88.95,-89.45,-89.59
-57 ; -30,-88.71,-88.72,-87.77,-88.49
-57 ; -27,-88.71,-89.02,-89.14,-88.17
-57 ; -24,-89.22,-89.11,-88.23,-89.84
-57 ; -21,-89.27,-89.83,-88.97,-89.6
-57 ; -18,-89.28,-89.46,-85.62,-89.77
-57 ; -15,-89.27,-89.74,-87.33,-88.36
-57 ; -12,-89.25,-89.46,-87.53,-89.77
-57 ; -9,-89.25,-89.21,-87.47,-89.0
-57 ; -6,-89.56,-88.91,-89.42,-88.91
-57 ; -3,-89.54,-89.48,-89.6,-89.05
-57 ; 0,-89.56,-89.47,-89.52,-89.67
-57 ; 3,-89.5,-89.51,-89.36,-89.01
-57 ; 6,-89.52,-89.79,-89.3,-89.12
-57 ; 9,-88.82,-89.4,-88.89,-87.47
-57 ; 12,-88.88,-89.86,-89.63,-89.22
-57 ; 15,-88.82,-89.71,-88.32,-89.84
-57 ; 18,-88.82,-89.31,-88.42,-89.21
-57 ; 21,-88.83,-88.07,-89.85,-87.76
-57 ; 24,-88.85,-87.51,-87.04,-87.76
-57 ; 27,-88.59,-87.74,-88.76,-86.64
-57 ; 30,-88.64,-87.57,-88.3,-88.8
-57 ; 33,-88.62,-86.81,-87.21,-85.5
-57 ; 36,-88.65,-85.96,-84.48,-89.04
-57 ; 39,-88.61,-86.88,-87.66,-89.28
-57 ; 42,-88.63,-87.14,-86.41,-89.43
-57 ; 45,-88.63,-87.56,-85.84,-88.84
-54 ; -45,-88.7,-88.79,-88.79,-88.76
-54 ; -42,-88.74,-88.86,-88.2,-89.45
-54 ; -39,-88.68,-88.2,-87.48,-87.76
-54 ; -36,-88.7,-88.85,-89.16,-89.71
-54 ; -33,-88.7,-88.13,-87.98,-89.57
-54 ; -30,-88.65,-88.93,-88.54,-89.42
-54 ; -27,-88.68,-89.02,-88.73,-89.14
-54 ; -24,-89.25,-89.48,-89.5,-89.06
-54 ; -21,-89.26,-89.64,-88.4,-88.28
-54 ; -18,-89.28,-89.54,-87.51,-89.59
-54 ; -15,-89.25,-89.75,-88.42,-89.64
-54 ; -12,-89.22,-89.57,-89.37,-89.67
-54 ; -9,-89.19,-89.3,-88.85,-89.76
-54 ; -6,-89.61,-89.0,-89.36,-89.53
-54 ; -3,-89.56,-89.47,-88.56,-89.9
-54 ; 0,-89.51,-89.39,-89.31,-89.71
-54 ; 3,-89.55,-89.61,-89.41,-88.97
-54 ; 6,-89.53,-89.9,-89.65,-89.72
-54 ; 9,-88.83,-89.55,-87.88,-89.28
-54 ; 12,-88.84,-89.8,-89.66,-88.75
-54 ; 15,-88.82,-89.61,-88.85,-89.22
-54 ; 18,-88.82,-89.18,-89.15,-89.45
-54 ; 21,-88.8,-88.59,-89.24,-87.28
-54 ; 24,-88.78,-87.24,-89.15,-86.65
-54 ; 27,-88.59,-87.75,-88.45,-86.38
-54 ; 30,-88.65,-87.58,-89.02,-88.75
-54 ; 33,-88.57,-86.76,-88.62,-85.97
-54 ; 36,-88.59,-87.04,-88.26,-86.75
-54 ; 39,-88.65,-87.17,-89.59,-88.55
-54 ; 42,-88.57,-86.92,-85.57,-89.41
-54 ; 45,-88.63,-86.58,-84.49,-89.08
-51 ; -45,-88.7,-88.81,-89.09,-84.79
-51 ; -42,-88.73,-88.83,-89.06,-88.79
-51 ; -39,-88.72,-88.28,-88.14,-88.42
-51 ; -36,-88.74,-88.88,-89.43,-88.65
-51 ; -33,-88.76,-88.89,-89.12,-89.5
-51 ; -30,-88.77,-88.11,-88.29,-89.3
-51 ; -27,-88.73,-88.92,-88.59,-85.88
-51 ; -24,-89.26,-89.6,-89.53,-88.94
-51 ; -21,-89.26,-89.75,-88.97,-88.85
-51 ; -18,-89.28,-89.49,-88.43,-89.01
-51 ; -15,-89.21,-89.49,-88.57,-89.17
-51 ; -12,-89.23,-89.75,-89.13,-88.47
-51 ; -9,-89.23,-89.58,-88.16,-88.46
-51 ; -6,-89.58,-89.32,-89.55,-87.61
-51 ; -3,-89.51,-89.38,-89.71,-88.39
-51 ; 0,-89.57,-89.35,-89.72,-89.76
-51 ; 3,-89.54,-89.51,-89.38,-87.45
-51 ; 6,-89.48,-89.81,-89.16,-89.18
-51 ; 9,-88.81,-89.46,-89.33,-86.38
-51 ; 12,-88.85,-89.83,-89.64,-89.12
-51 ; 15,-88.81,-89.58,-89.24,-87.63
-51 ; 18,-88.84,-89.61,-88.8,-87.71
-51 ; 21,-88.81,-88.73,-89.22,-86.88
-51 ; 24,-88.83,-88.64,-88.6,-86.46
-51 ; 27,-88.64,-88.33,-88.26,-85.96
-51 ; 30,-88.59,-88.0,-89.19,-84.49
-51 ; 33,-88.6,-86.71,-89.01,-82.25
-51 ; 36,-88.6,-86.75,-88.22,-85.25
-51 ; 39,-88.59,-86.93,-89.85,-86.72
-51 ; 42,-88.61,-87.18,-88.57,-86.61
-51 ; 45,-88.63,-87.12,-86.89,-89.11
-48 ; -45,-88.68,-88.9,-89.66,-88.53
-48 ; -42,-88.69,-88.5,-89.27,-87.21
-48 ; -39,-88.7,-88.13,-88.48,-87.89
-48 ; -36,-88.74,-88.89,-89.17,-88.9
-48 ; -33,-88.69,-88.91,-89.59,-89.55
-48 ; -30,-88.71,-88.26,-88.49,-87.04
-48 ; -27,-88.71,-88.13,-88.17,-88.09
-48 ; -24,-89.18,-89.12,-89.84,-89.47
-48 ; -21,-89.25,-89.56,-89.6,-88.01
-48 ; -18,-89.25,-89.57,-89.77,-88.71
-48 ; -15,-89.29,-89.54,-88.36,-89.49
-48 ; -12,-89.22,-89.8,-89.77,-89.55
-48 ; -9,-89.31,-89.76,-89.0,-88.23
-48 ; -6,-89.55,-89.39,-88.91,-86.18
-48 ; -3,-89.53,-89.13,-89.05,-89.46
-48 ; 0,-89.53,-89.41,-89.67,-89.54
-48 ; 3,-89.52,-89.41,-89.01,-89.28
-48 ; 6,-89.5,-89.8,-89.12,-89.76
-48 ; 9,-88.81,-88.98,-87.47,-86.48
-48 ; 12,-88.86,-89.47,-89.22,-88.81
-48 ; 15,-88.77,-89.6,-89.84,-89.49
-48 ; 18,-88.84,-89.62,-89.21,-88.78
-48 ; 21,-88.8,-88.85,-87.76,-88.41
-48 ; 24,-88.78,-88.79,-87.76,-86.7
-48 ; 27,-88.6,-89.07,-86.64,-84.78
-48 ; 30,-88.63,-88.27,-88.8,-86.64
-48 ; 33,-88.61,-86.78,-85.5,-84.2
-48 ; 36,-88.62,-86.75,-89.04,-84.16
-48 ; 39,-88.64,-86.99,-89.28,-86.12
-48 ; 42,-88.7,-87.21,-89.43,-86.66
-48 ; 45,-88.63,-87.25,-88.84,-87.53
-45 ; -45,-88.74,-88.83,-88.76,-89.26
-45 ; -42,-88.76,-88.65,-89.45,-87.7
-45 ; -39,-88.72,-88.7,-87.76,-88.85
-45 ; -36,-88.8,-89.09,-89.71,-89.48
-45 ; -33,-88.73,-89.1,-89.57,-88.31
-45 ; -30,-88.75,-88.81,-89.42,-89.25
-45 ; -27,-88.79,-88.51,-89.14,-88.32
-45 ; -24,-89.22,-88.9,-89.06,-89.31
-45 ; -21,-89.22,-89.26,-88.28,-88.99
-45 ; -18,-89.23,-89.53,-89.59,-89.55
-45 ; -15,-89.29,-89.43,-89.64,-89.47
-45 ; -12,-89.25,-89.79,-89.67,-89.58
-45 ; -9,-89.25,-89.67,-89.76,-89.6
-45 ; -6,-89.55,-89.69,-89.53,-87.67
-45 ; -3,-89.53,-89.58,-89.9,-89.77
-45 ; 0,-89.57,-89.35,-89.71,-89.34
-45 ; 3,-89.51,-89.57,-88.97,-89.78
-45 ; 6,-89.59,-89.78,-89.72,-89.78
-45 ; 9,-88.94,-89.21,-89.28,-87.5
